inventory_id,product_id,warehouse_id,quantity,min_stock_level,max_stock_level,last_restock_date
1,1,2,379,39,579,2024-10-15
2,1,1,389,14,780,2024-10-03
3,2,4,478,25,962,2024-10-31
4,2,5,297,22,230,2024-12-22
5,3,1,396,16,269,2024-06-29
6,4,3,225,29,790,2024-07-29
7,4,5,90,40,662,2025-12-10
8,5,4,175,13,561,2025-11-18
9,5,1,55,19,373,2025-08-15
10,6,1,26,47,453,2025-12-11
11,6,3,489,48,851,2024-02-05
12,7,2,231,14,654,2025-07-12
13,7,4,17,38,635,2024-10-06
14,7,3,191,35,756,2024-08-19
15,8,1,153,13,894,2024-07-20
16,9,5,283,19,308,2025-08-03
17,9,2,73,22,577,2026-01-26
18,9,3,205,41,548,2025-08-26
19,10,2,83,10,705,2025-06-09
20,10,2,22,39,419,2024-02-23
21,11,1,125,29,965,2025-07-02
22,11,2,129,32,208,2025-07-24
23,12,1,243,12,873,2025-03-27
24,13,4,349,26,776,2025-10-23
25,13,1,317,28,400,2024-11-19
26,14,3,421,21,567,2025-11-09
27,15,3,146,35,273,2024-01-09
28,15,2,6,14,341,2025-10-20
29,16,5,410,23,753,2024-03-01
30,16,2,96,33,907,2024-08-14
31,17,1,55,43,696,2025-05-13
32,17,4,216,11,640,2024-04-11
33,18,4,470,38,262,2026-01-01
34,18,2,341,42,749,2025-02-21
35,18,5,249,25,829,2024-08-09
36,19,5,337,48,304,2025-08-01
37,19,4,216,27,204,2024-01-16
38,20,1,97,42,641,2026-01-22
39,20,4,25,35,430,2025-09-20
