product_id,sku,product_name,description,category_id,brand_id,supplier_id,price,cost,weight_kg,is_active,created_at,updated_at
1,SKU-000001,Max Gear 1,Detailed description of product 1,3,5,5,356.36,149.67,37.5,true,2022-01-17,2025-08-15
2,SKU-000002,Premium Gear 2,Detailed description of product 2,9,13,5,195.91,107.75,3.5,true,2023-04-28,2025-02-06
3,SKU-000003,Max Widget 3,Detailed description of product 3,9,7,8,279.54,170.52,2.6,true,2023-10-09,2025-01-28
4,SKU-000004,Mega Set 4,Detailed description of product 4,10,6,4,122.38,67.31,17.7,true,2023-05-15,2025-08-27
5,SKU-000005,Mega Item 5,Detailed description of product 5,10,12,7,436.9,244.66,39.7,false,2022-02-06,2024-01-29
6,SKU-000006,Premium Product 6,Detailed description of product 6,8,8,6,436.94,288.38,27.2,true,2022-06-11,2024-11-05
7,SKU-000007,Mini Set 7,Detailed description of product 7,9,1,5,419.51,234.93,7.1,true,2022-08-24,2025-10-30
8,SKU-000008,Max Product 8,Detailed description of product 8,8,12,8,362.84,170.53,45.9,true,2023-12-22,2025-04-06
9,SKU-000009,Smart Gadget 9,Detailed description of product 9,3,3,6,358.26,211.37,48.4,true,2023-08-22,2024-05-25
10,SKU-000010,Pro Gadget 10,Detailed description of product 10,5,14,6,322.99,161.5,8.4,true,2023-12-22,2024-10-23
11,SKU-000011,Elite Gadget 11,Detailed description of product 11,6,8,2,236.31,103.98,8.2,true,2023-05-07,2024-07-10
12,SKU-000012,Mega Item 12,Detailed description of product 12,8,2,2,13.19,6.73,31.5,true,2023-08-15,2024-08-26
13,SKU-000013,Ultra Widget 13,Detailed description of product 13,8,2,2,231.34,124.92,19.8,true,2022-10-30,2024-04-20
14,SKU-000014,Basic Tool 14,Detailed description of product 14,6,5,8,434.48,278.07,44.5,true,2022-08-26,2024-04-08
15,SKU-000015,Smart Kit 15,Detailed description of product 15,9,7,6,153.39,73.63,27.6,true,2022-10-22,2024-10-15
16,SKU-000016,Basic Widget 16,Detailed description of product 16,3,6,8,384.88,211.68,30.3,true,2022-09-21,2024-07-10
17,SKU-000017,Mega Device 17,Detailed description of product 17,5,4,2,71.82,30.88,5.7,true,2023-02-20,2025-12-07
18,SKU-000018,Basic Gear 18,Detailed description of product 18,4,6,3,28.22,18.63,34.3,true,2022-10-17,2024-03-24
19,SKU-000019,Premium Gear 19,Detailed description of product 19,7,12,3,268.96,169.44,5.5,true,2023-02-25,2024-05-04
20,SKU-000020,Mega Set 20,Detailed description of product 20,4,15,1,379.56,155.62,7,true,2023-03-18,2025-12-03
