promotion_id,promotion_code,promotion_name,promotion_type,discount_value,min_order_amount,max_uses,current_uses,start_date,end_date,is_active
1,PROMO5E7A81,Promotion 1,fixed_amount,11,390,1341,288,2024-01-05,2024-03-27,true
2,PROMO648943,Promotion 2,percentage,32,910,8629,266,2024-01-05,2024-02-15,true
3,PROMO79ED6F,Promotion 3,percentage,36,570,2440,343,2024-02-23,2024-05-02,true
4,PROMO1AB086,Promotion 4,free_shipping,43,490,4347,20,2024-05-15,2024-07-20,true
5,PROMOC21DD5,Promotion 5,percentage,30,570,4848,334,2024-05-07,2024-05-21,false
6,PROMO915590,Promotion 6,buy_x_get_y,10,310,3294,339,2024-01-10,2024-04-03,true
7,PROMO550942,Promotion 7,free_shipping,48,520,5490,40,2024-02-02,2024-03-03,true
8,PROMO90553F,Promotion 8,free_shipping,33,690,4819,444,2024-03-31,2024-04-25,true
9,PROMO4A35E8,Promotion 9,percentage,36,380,429,78,2024-01-27,2024-04-15,false
10,PROMO8C814A,Promotion 10,buy_x_get_y,36,950,3782,356,2024-01-12,2024-02-04,true
